nome,data_nascimento,genero,salario_bruto,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,gasto_total_gab,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_total_par,presenca_plenario,ausencia_plenario,ausencia_justificada_plenario,presenca_comissao,ausencia_comissao,ausencia_justificada_comissao
BEATRIZ KICIS TORRENTS DE SORDI,19/09/1961,feminino,33763.0,25190.49,25724.28,26105.29,27799.7,29874.33,15473.15,16116.39,14243.78,13146.49,22163.74,1258.96,,217096.59999999998,111271.47,111271.47,111271.47,111271.47,111271.47,111538.39,111538.39,111538.39,111538.39,111538.39,,,1114049.3,89,3,0,56,7,4
ALINE SLEUTJES,26/07/1979,feminino,33763.0,18718.1,42340.7,49189.3,28504.61,62024.69,25909.67,20829.47,10742.51,4466.72,8102.19,616.42,,271444.38,108562.89,107823.39,108054.31,102862.93,104407.0,105903.3,107141.12,104241.48,105514.93,93070.21,,,1047581.56,81,11,0,25,12,5
ALICE MAZZUCO PORTUGAL,16/05/1959,feminino,33763.0,64843.86,35974.1,45630.28,30967.04,44643.22,33926.95,26133.78,37427.88,27482.05,33668.9,48.23,,380746.29,109364.13,110762.68,110837.35,110137.04,110137.04,110137.04,110137.04,110131.96,111046.92,111046.92,,,1103738.12,91,1,1,70,28,28
ÁUREA CAROLINA DE FREITAS E SILVA,20/11/1983,feminino,33763.0,15477.79,17211.99,36192.89,50919.99,47628.8,36660.42,25545.07,22852.05,27143.68,23155.38,0.0,,302788.06,110482.87,110320.03,111502.08,111502.08,111502.08,111499.25,111417.08,111417.08,111417.08,105478.47,,,1106538.0999999999,75,17,0,22,10,5
ALINE PARANHOS VARONIL GURGEL,25/11/1980,feminino,33763.0,42916.79,55902.66,41953.93,40253.23,74755.05,10460.16,40552.36,44238.07,50064.19,24731.56,0.0,,425828.0,111429.18,111160.99,111429.2,111429.2,111429.2,111429.2,111429.2,111429.2,109688.29,108621.49,,,1109475.15,78,14,3,16,34,27
ALESSANDRA SILVA RIBEIRO,04/07/1974,feminino,33763.0,21847.22,26068.76,60514.25,38257.92,39369.73,21249.25,15093.79,19228.94,15225.62,5513.3,0.0,,262368.78,73391.76,71163.83,70424.23,71271.43,75507.41,78795.1,74373.3,79377.41,79377.41,83691.96,,,757373.84,82,10,4,54,20,10
BRUNA DIAS FURLAN VICENTE,28/04/1983,feminino,33763.0,12812.15,15234.17,17325.26,17939.4,283.61,5769.8,6302.2,1448.19,,,,,77114.78,102008.81,103337.22,104665.63,85126.66,89553.78,105191.41,111416.96,104020.17,87826.95,93579.66,,,986727.2500000001,39,4,4,0,0,0
ANGELA REGINA HEINZEN AMIN HELOU,20/12/1953,feminino,33763.0,32420.59,44149.4,54673.99,50177.8,45917.82,36925.47,34965.84,19369.26,7069.38,9738.31,195.6,,335603.46,108469.01,109010.6,110962.23,109111.95,109111.95,108914.61,107061.71,107061.71,107061.71,110877.26,,,1087642.7399999998,88,4,0,61,1,0
BENEDITA SOUZA DA SILVA SAMPAIO,26/04/1942,feminino,33763.0,27548.63,36708.62,32332.8,38159.47,42904.22,28769.87,17965.43,15365.95,9555.15,28558.54,1048.07,,278916.75,111495.9,111448.24,111228.98,111228.98,111228.98,111354.55,111647.54,111647.54,111647.54,111647.54,,,1114575.79,45,47,0,22,33,15
CHRISTINE NOGUEIRA DOS REIS TONIETTO,14/05/1991,feminino,33763.0,11369.6,10173.11,9970.3,13872.46,12050.51,19466.91,25628.43,11169.95,3255.31,15855.62,366.11,,133178.31,69040.75,69101.84,69101.84,71632.9,76266.55,85504.27,88597.5,88597.5,88597.5,82910.48,,,789351.1299999999,88,4,2,59,10,6
HILKEA CARLA DE SOUZA MEDEIROS LIMA,02/07/1976,feminino,33763.0,24586.19,44761.07,52267.87,31382.92,38231.83,32701.13,15878.04,19847.11,20700.3,40204.82,534.76,,321096.04000000004,111271.39,111271.39,111271.39,111271.39,111271.39,110132.42,111538.26,111238.3,111538.26,111538.26,,,1112342.45,91,1,1,62,5,5
CHRISTIANE DE SOUZA YARED,23/02/1960,feminino,33763.0,23957.3,44324.43,35762.57,54189.41,41149.82,32246.76,23122.06,18987.0,15446.67,40295.66,913.67,,330395.3499999999,108772.44,108772.44,108772.44,108772.44,108366.22,104176.55,111586.94,111586.94,111586.94,108683.92,,,1091077.2699999998,83,9,0,27,11,5
CLARISSA BARROS ASSED MATHEUS DE OLIVEIRA,02/07/1982,feminino,33763.0,7971.69,16907.3,54747.61,49861.8,57969.92,53352.84,20869.99,15804.77,9631.78,10118.65,113.66,,297350.01,110918.38,110319.03,110945.19,111532.21,111532.21,111532.21,111532.21,111532.21,111532.21,111532.21,,,1112908.0699999998,86,6,6,37,14,14
CARLA ZAMBELLI SALGADO DE OLIVEIRA,03/07/1980,feminino,33763.0,35310.53,32694.44,29735.19,21729.23,51011.16,22816.95,21987.75,14571.57,14918.4,31400.35,1005.67,,277181.24,111549.61,111299.27,110215.67,105302.52,108206.27,105657.79,108726.99,111400.84,111665.78,111665.78,,,1095690.52,79,13,1,10,17,12
CELINA LEAO HIZIM FERREIRA,02/03/1977,feminino,33763.0,1190.04,11101.64,13853.72,18215.77,17835.36,15949.33,14392.13,6642.14,2402.27,0.0,0.0,,101582.40000000001,110531.62,110840.11,110489.74,109406.57,110401.05,109266.63,109432.72,110798.51,110798.51,110798.51,,,1102763.97,71,21,19,18,24,23
CARMEN EMÍLIA BONFÁ ZANOTTO,06/10/1962,feminino,33763.0,15385.24,28801.18,31514.98,30373.86,35066.26,31040.14,26674.03,14544.84,11885.29,14575.69,0.0,,239861.50999999998,101754.2,102247.05,101219.81,102930.96,102930.96,101603.76,86458.75,91918.18,92236.93,97802.61,,,981103.2099999998,,,,,,
CAROLINE RODRIGUES DE TONI,01/09/1986,feminino,33763.0,1577.63,10066.51,14101.09,11285.98,24174.38,15473.46,14468.42,7103.83,3096.89,5223.46,2095.58,,108667.23,84266.39,86627.52,88148.33,92593.08,96367.63,96367.63,93146.11,92800.95,92800.95,87409.42,,,910528.01,91,1,1,45,12,11
DANIELA MOTE DE SOUZA CARNEIRO,10/02/1976,feminino,33763.0,35968.58,36604.61,48540.64,61049.56,50236.04,27308.97,20808.56,13155.35,11253.04,4366.75,26.28,,309318.38,111004.43,110578.75,110970.4,111234.95,111234.95,111234.95,111234.95,110155.05,109870.15,100152.27,,,1097670.8499999999,80,12,2,42,18,9
